city,total_orders,total_revenue,total_freight,delivery_orders,late_orders,avg_delivery_delay_days,reviewed_orders,avg_review_score,negative_reviews,late_delivery_rate,negative_review_rate,freight_ratio
alegrete,36,4483.77,812.47,35,0,-17.460576719576718,36,3.9444444444444446,8.0,0.0,22.22222222222222,0.18120242563735428
alegrete do piaui,1,149.9,23.98,1,0,-2.0043171296296296,1,5.0,0.0,0.0,0.0,0.1599733155436958
alegria,1,39.9,18.38,1,0,-8.170300925925925,1,3.0,0.0,0.0,0.0,0.4606516290726817
alem paraiba,29,2870.56,677.76,28,0,-14.740817212301588,29,3.7586206896551726,7.0,0.0,24.137931034482758,0.2361072403990859
alexandra,1,31.9,19.41,1,0,-0.012835648148148148,1,5.0,0.0,0.0,0.0,0.6084639498432602
alexandria,2,159.8,62.12,2,0,-31.183871527777775,2,5.0,0.0,0.0,0.0,0.3887359198998748
alexandrita,1,99.8,30.2,1,0,-17.47423611111111,1,1.0,1.0,0.0,100.0,0.3026052104208417
alexania,5,466.67,101.58,5,0,-15.697428240740743,5,4.2,1.0,0.0,20.0,0.2176698737866158
alfenas,43,5350.32,1189.13,43,3,-13.47089335701981,43,4.116279069767442,7.0,6.976744186046512,16.27906976744186,0.22225399602266785
alfredo chaves,7,902.71,149.9,7,0,-15.377104828042329,7,4.0,1.0,0.0,14.285714285714285,0.16605554386236998
alfredo marcondes,1,129.0,40.23,1,0,-7.02675925925926,1,5.0,0.0,0.0,0.0,0.3118604651162791
alfredo vasconcelos,3,567.99,48.75,3,0,-14.004598765432098,3,4.666666666666667,0.0,0.0,0.0,0.08582897586225109
alfredo wagner,2,794.8,49.870000000000005,2,0,-12.200162037037037,2,5.0,0.0,0.0,0.0,0.0627453447408153
