region,total_orders,total_revenue,total_freight,delivery_orders,late_orders,avg_delivery_delay_days,reviewed_orders,avg_review_score,negative_reviews,late_delivery_rate,negative_review_rate,freight_ratio
Central-West,5782,870462.06,152599.94,5624,448,-11.63659562934645,5748,4.069415448851775,839.0,7.965860597439544,14.596381350034795,0.17530912260552745
North,1851,334353.71,76038.69,1796,176,-14.926714754495586,1833,3.9569012547735953,315.0,9.799554565701559,17.18494271685761,0.22741990809672785
Northeast,9394,1545493.75,335305.79,9044,1296,-10.648148583263715,9302,3.895936357772522,1748.0,14.329942503317117,18.79165770801978,0.21695706630971492
South,14148,1953941.12,343034.68,13814,974,-12.381944046465208,14071,4.13520716366996,1876.0,7.050818010713769,13.332385757941868,0.1755603976439167
Southeast,68266,8887393.06,1344930.44,66198,4933,-10.860118812683721,67719,4.10794114896361,9671.0,7.451886763950573,14.281073258612798,0.15133014044953244
